,date,Labor Productivity,Unemployment Rate,Federal Funds Rate,Inflation,GDP,Population,Investment,Government Spending,Consumption,Net Exports,GDP_per_capita
219,2022-10-01,-1.5,3.6,3.08,6.310662886,26770.514,335155.0,4184.98,6318.34,18109.6,-850.616,79875.02498843819
220,2023-01-01,0.1,3.5,4.33,6.488563553,27216.445,335807.0,4108.542,6433.6,18449.1,-794.917,81047.878692225
221,2023-04-01,1.8,3.4,4.83,6.265662148,27530.055,336451.0,4180.752,6491.697,18641.8,-797.486,81824.85711143674
222,2023-07-01,3.1,3.5,5.08,5.394823057,28074.846,337200.0,4275.527,6558.635,18884.2,-765.535,83258.73665480428
223,2023-10-01,3.5,3.9,5.33,4.882671706,28424.722,338088.0,4313.169,6668.128,19109.4,-788.044,84074.9213222593
224,2024-01-01,3.4,3.7,5.33,4.605479434,28708.161,338867.0,4296.251,6846.123,19303.3,-822.478,84718.07818406631
225,2024-04-01,3.1,3.9,5.33,4.413239633,29147.044,339648.0,4381.983,6954.021,19665.7,-894.37,85815.444224609
226,2024-07-01,2.6,4.2,5.33,4.182298584,29511.664,340448.0,4392.176,7165.663,19949.5,-938.325,86684.79180374095
227,2024-10-01,1.9,4.1,4.83,3.975247122,29825.182,341002.0,4315.564,7247.662,20226.0,-938.666,87463.3638512384
228,2025-01-01,1.2,4.0,4.33,3.624695912,30042.113,341454.0,4547.947,7313.597,20462.2,-1264.604,87982.89959994612
229,2025-04-01,1.5,4.2,4.33,3.178169333,30485.729,341874.0,4382.819,7496.339,20746.4,-899.799,89172.41147323283
230,2025-07-01,1.9,4.3,4.33,3.427070021,31098.027,342370.0,4383.186,7580.229,21007.3,-756.57,90831.63536524812
